Plot,Label,Treatment,Block,Herbivory,perN,LTOUGH,Det,Litter,Plant,Roots,Forbs,Grass,Isopods,IsopodsWt,Worms,N_Sol_June,Theight_Sol_June,NE_Oct,Nitrate_Oct,NE_June,Nitrate_June,SIR_June,SIR_Oct,NitrateS_June,NS_June,NitrateS_Oct,NS_Oct,POSI_June,FRVE_June,CLME_June,TRAG_June,EULA_June,RUHI_June,Fern_june,Solidago_Oct,POSI_Oct,gNadded,AmmoniumE_Oct_Old,AmmoniumE_Oct_New,NE_Oct_New
1,0,4,1,1,3.0333,0.3305,2.267,0.832,7.051,77.673,4.576,2.475,12,0.098,1,1,135,3.478528699,0.245594995,5.80967396,0.126369385,1.829975275,1.682011884,0.059548341,0.05958024,0.034582043,0.034582043,1,1,0,0,0,0,0,0,1,0.213801478,3.232933705,3.741987741,3.987582736
2,0,3,1,0,2.2,0.1557771,7.258,0.487,8.121,103.671,3.129,4.992,7,0.065,1,1,113.8,3.505712052,0.038278061,7.068534642,0.26335249,3.198077811,1.612653833,0.245739307,0.24577463,0.048638661,0.048638661,0,0,1,0,0,0,1,0,0,0.153819243,3.467433991,3.955812217,3.994090277
3,0,1,1,0,2.2,0.1557771,6.306,0.604,5.775,71.999,1.109,4.666,0,0,1,1,118,2.887532853,0.021563149,6.945288651,0.145463544,1.949205975,1.728157849,0.24682201,0.246848812,0.06034902,0.060349077,1,0,0,0,0,0,0,0,1,0.153819243,2.865969704,3.390469243,3.412032392
4,0,2,1,1,3.0333,0.3305,2.14,0.511,6.417,79.486,1.741,4.676,3,0.022,0,3,316,3.053097171,0,3.693561122,0.147055013,1.763916929,1.687713331,0.197136207,0.197172613,0.018958222,0.018979661,1,0,0,0,0,0,0,0,1,0.213801478,3.053097171,3.542872422,3.542872422
5,1,4,2,1,3.3333,0.2747149,2.363,0.592,4.737,123.889,0.281,4.456,8,0.041,0,1,110,2.399860864,0,5.998862686,0.086610474,1.845909913,1.676940649,0.343329109,0.343361789,0.053809749,0.053839023,1,1,0,0,0,0,0,0,0,0.233967158,2.399860864,2.805444844,2.805444844
6,1,3,2,0,2.6667,0.1799857,2.273,1.202,5.71,85.703,0.352,5.358,4,0.04,0,2,217,3.493035399,0,5.936989365,0.134324505,2.097412545,1.514155916,0.235382083,0.235418128,0.062298667,0.062335055,0,1,0,0,0,0,0,0,0,0.184204701,3.493035399,4.06657497,4.06657497
7,1,1,2,0,2.6667,0.1799857,2.502,1.095,5.14,80.986,1.716,3.424,3,0.013,0,1,104,2.860227,0,5.495712731,0.04052499,1.828998961,1.795167311,0.198983504,0.199016304,0.034939311,0.034978577,1,1,0,0,0,0,0,0,1,0.184204701,2.860227,3.356481533,3.356481533
8,1,2,2,1,3.3333,0.2747149,1.069,1.004,5.571,138.959,1.12,4.451,1,0.002,6,2,195,3.299726387,0.045120279,5.048019097,0.070714699,1.569601547,1.74086266,0.234300591,0.234327872,0.082099436,0.082116169,1,1,0,0,0,0,0,0,0,0.233967158,3.254606108,3.756980048,3.802100327
9,0,2,3,1,3.0333,0.3305,1.815,0.635,9.676,86.352,3.156,6.52,0,0,2,7,745,1.895959295,0,5.058576452,0.056412308,2.20304445,1.7382145,0.216241173,0.216275295,0.064446897,0.064446897,1,1,0,0,0,0,0,1,1,0.213801478,1.895959295,2.253791642,2.253791642
10,0,4,3,1,3.0333,0.3305,3.097,0.409,9.045,101.784,5.824,3.221,0,0,2,1,120,2.560429143,0.063941447,4.346540958,0.032583,2.066899449,1.955679879,0.351607378,0.351645588,0.226293818,0.226293875,0,1,0,1,0,0,0,0,1,0.213801478,2.496487696,2.927157928,2.991099375
