Label,Herbivory,Isopod,L0,M0,W0,N0,S0,H0,G0,P0,D0,L150,M150,W150,N150,S150,H150,G150,P150,D150,L,M,W,N,S,H,G,P,D,L15,M15,W15,N15,S15,H15,G15,P15,D15
0,1,1,213.8014781,30.83752001,5.978,8.272975719,2848,0.107317021,0.058044288,0.165361309,0,0.799047276,0.113141475,0.021941479,0.030309124,0.010473194,0.000391067,0.000211741,0.000602809,0,9.539850112,28.40499857,5.978,5.819480554,2848,82.368,61.875,144.243,0,0.035186917,0.104119828,0.022080871,0.021296555,10.4780509,0.301716691,0.226921141,0.528637832,0
0,0,1,153.8192427,53.32915619,3.575,10.06559333,2848,0.090464274,0.144327075,0.234791349,0,0.587778825,0.195662278,0.013121577,0.036876612,0.010473194,0.000329655,0.000526495,0.00085615,0,9.784557091,27.26475066,3.575,5.69700126,2848,62.58,104.832,167.4120001,0,0.03606322,0.099935839,0.013237553,0.020890385,10.4822084,0.229323953,0,0.229323953,0
0,0,0,153.8192427,32.79767538,0,9.890091039,4272,0.093803026,0.394667833,0.488470859,0,0.587778825,0.120333197,0,0.036233637,0.015709791,0.000341822,0.00143972,0.001781542,0,8.24484462,29.16363925,0,5.195119167,4272,21.071,102.652,123.7230001,0,0.030274788,0.107005054,0,0.01903477,15.71551729,0.077053033,0.376242433,0.453295466,0
0,1,0,213.8014781,29.75151933,1.1,5.259631037,2848,0.251201323,0.674682351,0.925883674,0,0.799047276,0.109156987,0.004037408,0.019269343,0.010473194,0.000915387,0.002461193,0.003376581,0,10.57940777,28.49873048,1.1,5.129268833,2848,29.597,126.252,155.849,0,0.039268235,0.104693544,0.004053423,0.018834298,10.48116903,0.108468792,0.463524989,0.571993782,0
1,1,1,233.9671576,31.09948582,2.378,8.542380465,2848,0.087443498,1.386653917,1.474097415,0,1.820863732,0.114102616,0.008728143,0.031296124,0.010473194,0.000318647,0.005058415,0.005377062,0,10.64518831,28.32162735,2.378,4.148712763,2848,5.901,120.312,126.213,0,0.058819786,0.107459469,0.009267739,0.015545491,10.66616564,0.024134234,0.496226283,0.520360516,0
1,0,1,184.2047013,35.23419469,1.88,8.454272856,2848,0.172502174,2.62576778,2.798269955,0,1.667835886,0.129272677,0.006900298,0.03097333,0.010473194,0.000628605,0.009578614,0.010207219,0,28.39612733,25.64544271,1.88,5.952663739,2848,8.096,144.666,152.7620001,0,0.188148644,0.095940601,0.008744748,0.022134973,10.58925987,0.03050974,0.546862323,0.577372064,0
1,0,0,184.2047013,30.82146939,0.78,7.825894928,4272,0.082673853,0.164962924,0.247636778,0,1.667835886,0.113082586,0.00286289,0.028671185,0.015709791,0.000301267,0.000601773,0.00090304,0,25.861514,30.2652763,0.78,4.904122916,4272,36.036,82.176,118.212,0,0.195210599,0.133406015,0.00353068,0.018283315,15.93221649,0.145949641,0.346334795,0.492284436,0
1,1,0,233.9671576,26.55697012,0.110423603,7.188379195,2848,0.155013475,0.616042562,0.771056037,0,1.820863732,0.09743633,0.000405296,0.026335564,0.010473194,0.000564875,0.00224728,0.002812155,0,19.86655161,29.37250663,0.110423603,5.529672987,2848,26.88,120.177,147.0570001,0,0.120563396,0.119723579,0.000450091,0.020474677,10.63706665,0.112375716,0.480330734,0.59270645,0
0,1,0,213.8014781,36.97078556,0,7.203412867,3007.752864,0.592230967,1.22349841,1.815729378,0,0.799047276,0.135644151,0,0.026390641,0.011060667,0.002158112,0.004463235,0.006621348,0,10.547985,29.32897083,0,3.449533845,3007.752864,60.99825276,121.5473005,182.5455532,0,0.039102743,0.107589296,0,0.012639185,11.06235858,0.223270929,0.445269703,0.668540632,0
0,1,1,213.8014781,34.73255871,0,6.189474324,3207.641168,0.095392907,0.052757856,0.148150764,0,0.799047276,0.127432197,0,0.022675945,0.011795733,0.000347615,0.000192457,0.000540072,0,5.489881437,32.9041065,0,4.473908639,3207.641168,119.0378251,88.51016821,207.5479933,0,0.020181985,0.120746908,0,0.016390073,11.79639547,0.436040802,0.324253683,0.760294485,0
