d15N,LitterType,Isopods
0.003663033,2,12
0.003664493,4,7
0.003656828,4,0
0.003664858,2,3
0.004089855,3,8
0.003768496,1,4
0.004050107,1,3
0.004180644,3,1
0.003660113,2,0
0.003663033,2,0
0.003669967,4,20
0.003657923,4,1
0.003854966,1,0
0.003913698,3,2
0.004045001,1,8
0.003671062,4,3
0.003657558,2,10
0.003671427,2,0
0.003660113,4,3
0.003665223,4,2
0.003658653,4,2
0.003662668,2,7
0.003655734,2,0
0.004105899,1,1
0.003772144,1,6
0.003847669,3,3
0.004169707,3,2
0.003908956,3,5
0.003829063,1,5
0.003655369,4,1
0.003660113,2,0
0.003661573,4,7
0.003656828,2,0
0.003985919,3,10
0.003768496,1,3
0.003978989,3,4
