d15N,LitterType,Isopods
0.003667412,2,12
0,4,7
0.003665223,4,0
0.003671427,2,3
0.004124495,3,8
0.003780172,1,4
0.004214549,1,3
0.003996861,3,1
0.003663345,2,0
0.003663463,2,0
0.003686078,4,20
0.003663242,4,1
0.004084924,3,3
0.004005217,1,0
0.004117482,3,2
0.003994755,1,8
0.003669816,4,3
0.003670939,2,10
0.003665727,2,0
0.003663275,4,3
0.003678621,4,2
0.003660453,4,2
0.003665459,2,7
0.003666733,2,0
0.004031706,1,1
0.003896639,1,6
0.004284975,3,3
0.004037823,3,2
0.003866968,3,3
0.004234549,1,4
0.004051388,3,5
0.004005627,1,5
0.003669273,4,1
0.003665316,2,0
0.003678454,4,7
0.003662394,2,0
0.004021036,3,10
0.003962184,1,8
0.004280566,1,3
0.004532392,3,4
