Cage,Litter,Forbs,Grass,Woodlice,Soil
1,37.4,45.1,45.2,33.9,3.1
2,35.2,42.7,44.9,30.7,2.9
3,30.1,44.5,44.8,,3.3
4,39.2,45.7,44.9,28.9,2.5
5,39.0,45.9,44.9,30.4,2.8
6,41.6,40.3,44.2,28.9,3.2
7,40.4,41.4,44.4,34.2,3.6
8,30.5,44.5,44.9,,2.9
9,42.0,43.3,43.6,,2.8
10,44.8,43.4,43.7,,2.9
11,43.7,43.0,43.1,32.6,3.5
12,14.7,45.7,44.5,,3.3
13,39.6,,41.2,28.3,3.0
14,38.1,41.2,41.4,,3.5
15,33.4,43.1,41.5,26.1,3.8
16,40.7,38.8,40.9,25.1,2.8
17,43.7,43.7,45.3,35.2,3.5
18,45.8,46.3,42.7,29.3,2.5
19,45.2,41.5,42.9,,3.2
20,42.8,48.5,43.1,,2.2
21,21.8,41.5,45.5,28.5,3.5
22,46.5,47.1,42.3,,3.1
23,42.8,44.2,42.6,30.7,2.5
24,44.1,46.4,43.4,,2.9
25,40.9,36.0,42.4,,3.8
26,42.2,43.8,41.9,28.1,3.6
27,44.7,41.2,42.4,31.2,3.0
28,36.6,43.1,42.6,,3.1
29,39.6,,38.6,31.4,3.2
30,42.9,,41.3,29.9,3.5
31,45.4,43.2,18.6,30.0,2.6
32,40.0,42.7,40.6,21.1,3.2
33,44.3,45.9,43.0,,2.0
34,42.9,45.8,43.8,,2.9
35,39.1,48.4,46.9,29.8,2.2
36,48.0,47.2,44.6,,3.1
37,47.5,43.1,42.3,25.6,4.2
38,41.0,,42.3,34.9,3.1
39,37.6,47.4,42.1,,3.6
40,45.0,27.7,41.3,31.5,2.8
41,38.0,47.4,43.5,26.8,3.3
42,46.7,48.2,43.3,32.1,2.5
43,45.8,44.7,42.8,30.0,2.2
44,41.7,46.9,43.5,20.8,1.9
