Cage,Litter,Forbs,Grass,Woodlice,Soil
1,1.1,1.8,2.5,6.1,0.2
2,2.0,2,2.1,5.5,0.2
3,1.4,1.9,2.2,,0.3
4,2.1,1.7,2.7,5,0.2
5,1.8,2.1,2.7,5.8,0.2
6,2.4,2.3,2.7,4.7,0.2
7,2.4,2.1,2.4,6,0.3
8,2.0,2.4,2.7,,0.2
9,1.7,1.932771,1.8642224,,0.2112186
10,1.3,2.0439187,2.7479096,,0.2252557
11,1.5,2.3207245,2.3048376,6.3539937,0.2613525
12,0.9,1.6686515,2.4386118,,0.255339
13,2.5,,2.0922117,5.3270161,0.2331018
14,2.1,2.1602239,1.8684935,,0.2607915
15,2.4,1.9627147,1.8110758,4.9943662,0.2920495
16,2.0,1.9895882,1.9526352,4.9648029,0.2166413
17,2.1,1.9080153,1.5023958,6.3107096,0.2617763
18,0.8,1.7768345,2.1397392,5.8273366,0.1999784
19,1.6,2.7386318,1.5732206,,0.2467352
20,1.4,2.268166,1.9087753,,0.1739017
21,1.1,2.2365996,1.3162257,5.2339962,0.2622006
22,1.3,1.9566255,1.6487762,,0.2360579
23,2.7,1.9563885,1.7155113,5.4685843,0.1976492
24,1.8,1.7968438,2.0827527,,0.2275946
25,2.4,2.1560082,2.4260614,,0.2817446
26,1.4,2.005196,1.4212901,5.0768635,0.2716123
27,2.3,2.6978226,1.9581511,6.3227464,0.2355556
28,2.4,2.1814517,2.254627,,0.2357441
29,2.6,,1.619816,7.0423051,0.2477167
30,2.1,,1.8691445,4.6923842,0.2624017
31,2.4,3.066525,0.9692999,5.9550124,0.2057419
32,2.2,2.0987054,1.6118936,4.0961432,0.2368433
33,1.2,1.3525149,1.4238192,,0.1549418
34,1.1,2.2781135,1.4574488,,0.2243539
35,1.6,2.0638927,1.4045741,5.6084565,0.1685548
36,1.1,1.7500413,2.2945547,,0.2372854
37,2.1,2.5084126,2.4542906,4.8577051,0.3259235
38,2.1,,2.3679816,6.6753391,0.2325847
39,1.3,2.0283147,1.7094011,,0.2769538
40,1.0,1.3189962,1.5971402,5.8441388,0.2238866
41,,1.4098145,1.3368485,3.8768504,0.245216
42,,2.212486,1.8423478,6.7307518,0.1914704
43,,1.6820574,1.5656196,5.9055675,0.1762736
44,,1.9141309,1.5704889,4.327975,0.1519239
